                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5973,                 2.2098,                 2.5573,                 1.0382,                0.55925,                0.35535,                0.41613,                0.26051,                0.54268,                0.34413,                0.39188,                0.20801,                 1.5438,                 1.9464,                  1.998,                 1.0366,             0.00047196,             0.00047196,             0.00047196
                      2,                 1.5645,                 1.8638,                 1.4627,                 1.0115,                0.63816,                 0.4515,                0.50116,                0.29242,                0.59947,                0.42849,                0.46415,                0.22867,                 1.4735,                 1.9246,                  1.416,                0.99995,             0.00094642,             0.00094642,             0.00094642
                      3,                 1.5018,                 1.8204,                 1.3243,                 1.0144,                0.57965,                0.49324,                0.50529,                0.29629,                0.55098,                0.46271,                0.45649,                0.22636,                 1.5221,                 1.8482,                 1.3199,                 1.0027,               0.001419,               0.001419,               0.001419
                      4,                 1.4738,                 1.7921,                 1.2655,                0.99634,                0.57758,                0.51263,                0.53422,                0.32944,                0.57175,                0.50093,                0.52658,                0.29506,                 1.4194,                 1.7211,                 1.2279,                0.99844,              0.0014205,              0.0014205,              0.0014205
                      5,                 1.4368,                 1.6631,                 1.1946,                0.98513,                 0.6231,                0.53279,                0.55748,                0.32912,                0.58778,                0.48374,                0.49661,                0.24719,                 1.4631,                 1.8138,                 1.1796,                  0.987,              0.0014205,              0.0014205,              0.0014205
                      6,                 1.4421,                 1.6697,                 1.1607,                0.98745,                0.60897,                0.55632,                  0.591,                0.36905,                0.61063,                0.51844,                0.56256,                0.30706,                 1.3678,                   1.71,                 1.3227,                0.99383,              0.0014177,              0.0014177,              0.0014177
                      7,                 1.4313,                 1.6427,                 1.1357,                0.98619,                0.67211,                0.56438,                0.61126,                0.38226,                0.61665,                0.56565,                0.57435,                0.31213,                 1.3659,                 1.6191,                 1.0838,                0.97893,              0.0014149,              0.0014149,              0.0014149
                      8,                 1.3942,                 1.6247,                 1.0983,                 0.9828,                0.65318,                0.56113,                0.61648,                0.36758,                0.62813,                0.51843,                0.56586,                0.28133,                 1.4473,                 1.7104,                 1.0957,                0.98023,               0.001412,               0.001412,               0.001412
                      9,                 1.4566,                 1.6593,                 1.1183,                0.98958,                0.64257,                0.56965,                0.61741,                0.38017,                0.62023,                0.53907,                0.57977,                0.31183,                 1.3736,                 1.6113,                 1.0242,                0.97567,              0.0014092,              0.0014092,              0.0014092
                     10,                 1.3877,                 1.6229,                 1.0715,                0.97194,                 0.6685,                0.60795,                0.64552,                0.40204,                0.62476,                0.56881,                0.59247,                0.31127,                 1.3331,                 1.5861,                 0.9912,                0.95648,              0.0014064,              0.0014064,              0.0014064
                     11,                 1.3665,                 1.5572,                 1.0479,                0.97103,                0.62059,                0.61178,                0.62198,                0.37907,                0.58303,                0.57637,                0.57889,                0.30687,                 1.3813,                 1.7139,                 1.0207,                0.97622,              0.0014035,              0.0014035,              0.0014035
                     12,                 1.3908,                 1.6131,                 1.0944,                0.98478,                0.71711,                0.59936,                 0.6457,                0.40335,                0.67739,                0.56739,                0.59562,                0.31867,                 1.3581,                 1.6265,                 1.0362,                0.97417,              0.0014007,              0.0014007,              0.0014007
                     13,                 1.3858,                 1.6449,                 1.0432,                0.97281,                0.61667,                0.58269,                0.60449,                 0.3644,                0.58223,                0.54109,                0.55363,                0.28825,                 1.4035,                 1.6279,                 1.0826,                0.98244,              0.0013979,              0.0013979,              0.0013979
                     14,                 1.3489,                 1.5837,                 1.0315,                0.96662,                 0.6765,                0.59393,                0.64447,                 0.4001,                0.65107,                0.57598,                0.61107,                0.32498,                 1.3126,                 1.5569,                0.97162,                0.95778,               0.001395,               0.001395,               0.001395
                     15,                   1.34,                 1.5624,                 1.0026,                0.96423,                0.70892,                0.57563,                0.65312,                0.39533,                0.68492,                0.53869,                0.59981,                0.32015,                 1.3985,                 1.5619,                0.96909,                0.96928,              0.0013922,              0.0013922,              0.0013922
                     16,                  1.317,                 1.5192,                0.98094,                0.96022,                0.72174,                 0.6308,                0.68118,                0.43146,                 0.6819,                0.60453,                0.63715,                0.34727,                 1.2914,                 1.5031,                0.91021,                 0.9573,              0.0013894,              0.0013894,              0.0013894
                     17,                 1.3084,                  1.524,                0.98567,                0.96695,                0.69158,                0.61235,                0.66263,                0.41796,                0.64875,                0.57078,                0.61183,                0.32262,                 1.3251,                 1.6031,                 0.9256,                0.95934,              0.0013866,              0.0013866,              0.0013866
                     18,                 1.3341,                 1.5642,                0.97048,                0.96525,                0.65108,                0.61394,                0.64203,                0.38448,                0.62842,                0.59262,                0.61821,                0.31723,                 1.4009,                 1.6196,                0.96983,                 0.9685,              0.0013837,              0.0013837,              0.0013837
                     19,                 1.2997,                 1.4987,                0.94124,                0.95615,                0.69371,                0.63597,                0.66809,                0.42711,                0.66899,                 0.6071,                0.63511,                0.34704,                 1.2841,                 1.4927,                0.92227,                0.95095,              0.0013809,              0.0013809,              0.0013809
                     20,                  1.296,                 1.4845,                0.93643,                0.95355,                0.71801,                0.60383,                0.67797,                0.42532,                0.71969,                0.57237,                0.65788,                0.34692,                 1.3073,                 1.5218,                0.90836,                0.96282,              0.0013781,              0.0013781,              0.0013781
                     21,                  1.262,                 1.4472,                0.94976,                0.94568,                0.66412,                0.62328,                0.67172,                 0.4274,                0.64856,                0.58774,                0.62036,                0.32033,                 1.2887,                 1.6065,                0.97364,                0.94736,              0.0013752,              0.0013752,              0.0013752
