                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4592,                 2.0198,                 1.6299,                 1.0539,                0.55192,                0.47668,                0.48336,                0.29312,                0.52677,                0.45322,                0.42862,                0.21932,                 1.4497,                 1.8869,                 1.3631,                 1.0186,             0.00047196,             0.00047196,             0.00047196
                      2,                 1.4521,                 1.7788,                 1.2221,                 1.0373,                0.54375,                0.52663,                0.51686,                0.31243,                0.51257,                0.51984,                0.48249,                0.23654,                  1.424,                 1.7286,                 1.2545,                 1.0708,             0.00094517,             0.00094517,             0.00094517
                      3,                  1.473,                 1.7151,                 1.1527,                 1.0571,                0.59265,                0.51856,                0.52806,                 0.3016,                0.54623,                0.48511,                0.47928,                0.23544,                 1.6153,                 1.9166,                 1.3493,                 1.1165,              0.0014152,              0.0014152,              0.0014152
                      4,                 1.4545,                 1.7162,                 1.1267,                 1.0443,                0.57517,                0.54689,                0.58125,                0.35919,                0.54885,                0.52211,                0.53564,                0.26463,                 1.3697,                 1.7125,                 1.0858,                 1.0261,              0.0014149,              0.0014149,              0.0014149
                      5,                 1.3973,                 1.6125,                  1.034,                 1.0194,                0.67431,                0.61271,                0.63845,                0.36341,                0.62249,                0.56414,                0.54136,                0.26762,                 1.4775,                 1.6726,                 1.0649,                 1.0414,              0.0014149,              0.0014149,              0.0014149
                      6,                 1.4321,                 1.6393,                 1.0592,                 1.0275,                0.63074,                0.58268,                0.61836,                0.37963,                0.57619,                0.53832,                0.55285,                0.28651,                  1.416,                 1.6649,                 1.0562,                 1.0442,              0.0014101,              0.0014101,              0.0014101
                      7,                 1.4214,                 1.5897,                 1.0486,                 1.0228,                0.64823,                0.55278,                0.60401,                0.35074,                0.62082,                0.52101,                0.55069,                0.27365,                 1.4312,                 1.5882,                 1.0401,                 1.0428,              0.0014054,              0.0014054,              0.0014054
                      8,                 1.3665,                 1.5466,                 1.0042,                 1.0059,                0.68275,                0.57911,                0.63962,                0.39299,                0.61465,                0.56426,                0.59133,                0.30357,                 1.3609,                 1.5223,                0.96306,                0.99233,              0.0014007,              0.0014007,              0.0014007
                      9,                 1.3662,                  1.565,                 1.0527,                 1.0043,                0.63164,                0.55238,                0.60479,                0.37198,                0.60111,                0.51766,                 0.5478,                0.28576,                 1.3082,                 1.5417,                 1.0093,                  1.003,               0.001396,               0.001396,               0.001396
                     10,                  1.349,                 1.5272,                0.98616,                 0.9963,                0.67805,                0.56058,                0.63054,                0.37187,                0.63582,                0.52681,                0.55721,                0.28027,                  1.344,                 1.5013,                0.98949,                0.99902,              0.0013913,              0.0013913,              0.0013913
